exercise_name,youtube_url,video_label
Machine Squat,https://youtu.be/N56STpGGRYE,Jeff PDF demo
Barbell Back Squat,https://www.youtube.com/watch?v=bEv6CCg2BC8,Jeff squat technique
Leg Press,https://www.youtube.com/shorts/nDh_BlnLCGc,User-provided demonstration
Hack Squat,https://www.youtube.com/shorts/o7LhckVZUKk,User-provided demonstration
Romanian Deadlift,https://youtu.be/_oyxCn2iSjU?t=95,Jeff PDF technique
DB Romanian Deadlift,https://www.youtube.com/shorts/hu3jRvTc_po,User-provided demonstration
Leg Extension,https://youtu.be/ljO4jkwv8wQ?t=202,Jeff PDF technique
Sissy Squat,https://www.youtube.com/shorts/AYN-U5nZieY,User-provided demonstration
Reverse Nordic,https://www.youtube.com/shorts/q-0Of2qntjc,User-provided demonstration
Seated Leg Curl,https://youtu.be/2CMmuH4qJh0,Jeff PDF demo
Lying Leg Curl,https://www.youtube.com/watch?v=e_48W0vlU58,Jeff PDF demo
Standing Leg Curl,,
Nordic Curl,https://www.youtube.com/shorts/0ia97P5konQ,User-provided demonstration
Standing Calf Raise,https://youtu.be/-qsRtp_PbVM?t=311,Jeff PDF technique
Seated Calf Raise,https://youtu.be/-qsRtp_PbVM?t=311,Jeff PDF technique
Leg Press Calf Raise,https://www.youtube.com/shorts/-pktcXXJo7A,User-provided demonstration
Supported Standing Calf Raise,https://www.youtube.com/shorts/wlqTemUXPXY,User-provided demonstration
Single-Leg Calf Raise,,
Bent-Knee Calf Raise,,
Hip Adduction Machine,,
Cable Hip Adduction,,
Wide-Stance Leg Press,,
Incline Machine Press,,
Incline DB Press,https://youtu.be/URQ1Wn7lY3A,Jeff PDF press demo
Low-Incline Smith Press,,
Neutral-Grip Lat Pulldown,https://youtu.be/QGKhvhMcpPQ,Jeff PDF demo
Neutral-Grip Pull-Up,https://youtu.be/Hdc7Mw6BIEE?t=99,Jeff PDF technique
Assisted Pull-Up,https://youtu.be/Hdc7Mw6BIEE?t=99,Jeff PDF technique
Machine Pulldown,https://youtu.be/QGKhvhMcpPQ,Jeff PDF demo
One-Arm Lat Pulldown,https://youtu.be/QGKhvhMcpPQ,Jeff PDF demo
Chin-Up,https://youtu.be/Hdc7Mw6BIEE?t=99,Jeff PDF technique
Chest-Supported Machine Row,https://youtu.be/160n9FBX84s,Jeff PDF row demo
Seated Cable Row,,
Chest-Supported DB Row,https://youtu.be/160n9FBX84s,Jeff PDF demo
Machine Row,https://youtu.be/160n9FBX84s,Jeff PDF row demo
Helms Row,https://youtu.be/160n9FBX84s,Jeff PDF demo
Chest-Supported T-Bar Row,https://youtu.be/160n9FBX84s,Jeff PDF demo
Machine Shoulder Press,https://www.youtube.com/watch?v=flr4ohSl0j8,Jeff PDF demo
Seated DB Shoulder Press,,
Cable Shoulder Press,,
High-Incline Machine Press,,
Machine Lateral Raise,https://youtu.be/-9QsrJ542ao,Jeff PDF demo
Cable Lateral Raise,https://youtu.be/-9QsrJ542ao,Jeff PDF demo
DB Lateral Raise,https://youtu.be/-9QsrJ542ao,Jeff PDF demo
Cable Triceps Pressdown,https://youtu.be/popGXI-qs98?t=123,Jeff PDF technique
Machine Triceps Extension,,
EZ-Bar Skull Crusher,,
Overhead Cable Triceps Extension,https://www.youtube.com/shorts/68NDeHB1WSc,User-provided demonstration
Machine Overhead Triceps Extension,,
DB French Press,,
Machine Preacher Curl,https://youtu.be/i1YgFZB6alI?t=487,Jeff PDF technique
Cable Preacher Curl,https://youtu.be/i1YgFZB6alI?t=487,Jeff PDF technique
Incline DB Curl,https://youtu.be/i1YgFZB6alI?t=487,Jeff PDF technique
Machine Biceps Curl,https://youtu.be/i1YgFZB6alI?t=487,Jeff PDF technique
Cable Curl,https://youtu.be/i1YgFZB6alI?t=487,Jeff PDF technique
Spider Curl,https://youtu.be/i1YgFZB6alI?t=487,Jeff PDF technique
Seated DB Curl,https://youtu.be/i1YgFZB6alI?t=487,Jeff PDF technique
Bulgarian Split Squat,https://www.youtube.com/shorts/or1frhkjBDc,User-provided demonstration
Supported Split Squat,,
Reverse Lunge,https://www.youtube.com/shorts/1mHlkUC5rGY,User-provided demonstration
DB Step-Up,,
Low Step-Up,,
45 Degree Hyperextension,,
Cable Pull-Through,,
Hip Thrust,,
Glute Bridge Machine,,
Assisted Nordic Curl,,
Cable Crunch,https://youtu.be/zU6X6DLCH_U,Jeff PDF demo
Machine Crunch,https://youtu.be/zU6X6DLCH_U,Jeff PDF demo
Reverse Crunch,,
Hip Abduction Machine,https://www.youtube.com/shorts/S_FGYHNHJ_c,User-provided demonstration
Cable Hip Abduction,,
Lateral Band Walk,,
Pec Deck Fly,,
Machine Chest Press,,
Cable Fly,,
Reverse Pec Deck,,
Cable Rear-Delt Fly,,
Face Pull,,
Dead Bug,,
Pallof Press,,
